ID,File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender
krd_001301_jokes,,Māmá yashize umukâté ku mêzá nca ndawúrya.,"Ma mère a laissé du pain sur la table, et je l'ai mangé.","My mom left a bread on the table, and as soon as she left, I immediately jumped on it and ate it.",jokes,,,,,,
krd_001302_jokes,,"Māwé Māwé Māwé, Mu bufaràánsa :ēgó kibôndo cānje, Mu Burùúndi : Utárīnze gukóma indûrú usâmirana umutùúmba wöse ntā mahóro wūmvá ?","Maman, maman, maman !!!, En France : Oui, mon cher, Au Burundi :Si tu ne cries pas mon nom partout, est-ce que tu ne ressens pas la paix ?","Mom, mom, mom!!!, In France: Yes, my love. In Burundi: If you're not shouting my name everywhere, don't you find peace??",jokes,,,,,,
krd_001303_jokes,,Māwé igihe narí mfíse imyâka cumi: Zana aryá maherá nyokórume wāwe yaguhàáye  ndayakúbīkire nzōyaguha níwayakenéra.,"Quand j'avais dix ans, ma mère disait : ""Apporte cet argent que ton oncle t'a donné ; je te le rendrai quand tu en auras besoin.""  ","When I was ten years old, my mom was like: ""Bring that money your uncle gave you; I'll give it back to you when you need it.""  ",jokes,,,,,,
krd_001304_proverbs,,Mū nda haba umutíma ntíhabá umutsíma.,"C'est le cœur, et non l'estomac, qui définit vraiment une personne.","It's the heart, not the stomach, that truly defines a person.",proverbs,,,,,,
krd_001305_proverbs,,Mū nda harāra inzara hakavyūka inzigo.,Un homme affamé est un homme en colère.,A hungry man is an angry man.,proverbs,,,,,,
krd_001306_action-verbs,,Ni iciyumviro ciza,C'est une bonne idée.,It's a good idea.,action-verbs,,,,,,
krd_001307_grammar,,Ni ikirimi kigoye,C'est une langue difficile.,It's a difficult language.,grammar,,,,,,
krd_001308_proverbs,,Ni inkuru nziza y'urukundo.,C'est une belle histoire d'amour.,It's a beautiful love story.,proverbs,,,,,,
krd_001309_proverbs,clips/sound_proverb/prov013.mp3,Ni iritagira inkoko riraca,Une nuit sans coqs se terminera quand même.,A night without roosters will still end.,proverbs,,,,,,
krd_001310_proverbs,,Ni ubúsa burazirwa.,L'injustice fait trébucher les innocents.,Injustice causes the innocent to stumble.,proverbs,,,,,,
krd_001311_general,,Ni umugenzi wanje,Elle est mon amie.,She is my friend.,general,,,,,,
krd_001312_proverbs,,Ni úburí ku munwa burakoroka.,Même l'arbre le plus haut peut être abattu par le vent.,Even the tallest tree can be brought down by the wind.,proverbs,,,,,,
krd_001313_proverbs,,Ni úwutáco avuzé aba avúze.,Le silence est plus éloquent que les mots,Silence speaks louder than words.,proverbs,,,,,,
krd_001314_jokes,,Ni ūwó kwàá nde ?,Qui sont ses parents ? , Who are his parents? ,jokes,,,,,,
krd_001315_proverbs,,Na Bucangênda yapfûye atágīyé.,Celui qui annonce est moins susceptible d'agir.,The one who announces is less likely to perform.,proverbs,,,,,,
